feature,importance_mean,importance_std
cat__Contract_Month-to-month,0.022872972244873058,0.008005777280975105
num__tenure,0.02081906303301926,0.010095907970208462
num__TotalCharges,0.010469367403396468,0.00806500816552384
cat__PaperlessBilling_Yes,0.0050655597253226,0.0028968537945515795
cat__Contract_Two year,0.0029045416926590352,0.004218927546152952
cat__MultipleLines_No phone service,0.0022274853544098526,0.0006806463412833228
cat__DeviceProtection_No,0.0019159474759236407,0.0020275764785353976
cat__Partner_Yes,0.001854281674257896,0.0019189023456671038
cat__PaperlessBilling_No,0.0010222651919993165,0.002453004936480921
cat__PaymentMethod_Electronic check,0.0002494023929222822,0.00404629020377543
cat__TechSupport_No internet service,0.00023977383776184745,0.0019211353904981675
cat__OnlineBackup_No internet service,0.0002056837274735268,0.0019094774945188876
cat__Contract_One year,0.0001343836537158971,0.0028845236551767245
cat__OnlineSecurity_Yes,-6.075750182663597e-05,0.0030218837920552204
cat__DeviceProtection_No internet service,-0.0001680554823770719,0.002686870570518214
cat__InternetService_No,-0.0002099935494936811,0.0026842262958890694
num__has_auto_payment,-0.0003576103292031174,0.0038788646520361144
cat__InternetService_Fiber optic,-0.0004551570697113094,0.0039046040574259844
cat__PhoneService_Yes,-0.0005632959260474801,0.00040332457944878864
cat__Dependents_No,-0.0006174391663770984,0.002081600368924338
cat__MultipleLines_Yes,-0.0007054657461826319,0.0021579094926940517
cat__MultipleLines_No,-0.0008547544363680326,0.0019389828315941725
cat__StreamingTV_No internet service,-0.0009919513207768294,0.0024073476238479882
cat__OnlineSecurity_No internet service,-0.0011532733713163546,0.0021712829855224133
cat__PaymentMethod_Mailed check,-0.0014160621870217937,0.0016881229491986656
cat__Dependents_Yes,-0.0014191381836360817,0.0014494704416546332
cat__PhoneService_No,-0.0014635342876567314,0.0005257183136743644
cat__gender_Male,-0.0014893013238440167,0.002360202231359571
cat__StreamingMovies_No internet service,-0.0016015164469548205,0.0020851992319187514
cat__Partner_No,-0.0017250319251178258,0.0021638564019075095
cat__StreamingTV_No,-0.0017885288104818819,0.0015097062021876646
cat__PaymentMethod_Bank transfer (automatic),-0.0019269026552946155,0.0010108160191357812
cat__DeviceProtection_Yes,-0.002035500145402669,0.0010575635756570594
cat__TechSupport_Yes,-0.0022418758197054857,0.002295302797424739
cat__PaymentMethod_Credit card (automatic),-0.0022520330498102203,0.0013290470277122952
cat__TechSupport_No,-0.002329142507990445,0.005485117950006585
cat__OnlineBackup_No,-0.002886699392172809,0.0027831843397685607
cat__StreamingMovies_No,-0.0031196864715096863,0.00292559509740447
cat__gender_Female,-0.0032092565886114644,0.0019610153829656626
cat__StreamingTV_Yes,-0.003372062344362803,0.002005265166354194
num__SeniorCitizen,-0.0035670026868422134,0.0020816111658106193
cat__OnlineSecurity_No,-0.0038048548792857908,0.0021566790494987886
cat__StreamingMovies_Yes,-0.004219843911440424,0.0022535274717336742
cat__OnlineBackup_Yes,-0.00480738509493307,0.0020650781476900877
num__avg_monthly_spend,-0.005018389619857145,0.005561148453737679
num__MonthlyCharges,-0.00519312893285776,0.0027153524832887574
num__num_optional_services,-0.00553481103272041,0.003050125091193241
cat__InternetService_DSL,-0.010658488703609293,0.003415525588072841
