feature,importance_mean
Contract,0.08500827582301576
InternetService,0.02139241206365449
tenure,0.021012448399047205
TotalCharges,0.010858005993704397
PaperlessBilling,0.005932187320120515
PaymentMethod,0.0025089069631582936
TechSupport,0.0016583075260362772
MultipleLines,0.0013627261713728522
DeviceProtection,0.0008685903437919566
OnlineSecurity,0.0006931669665207086
has_auto_payment,-0.0005288132713324585
PhoneService,-0.0011386884768141683
Partner,-0.0022241993081206263
OnlineBackup,-0.00243086726727757
StreamingTV,-0.002927716832596139
SeniorCitizen,-0.0032864170470149334
Dependents,-0.0036519693982187537
MonthlyCharges,-0.0038772421185347366
gender,-0.004128667914208073
num_optional_services,-0.004579016384556112
avg_monthly_spend,-0.005165958350447124
StreamingMovies,-0.007473187368764485
